,0
570,"Forensic High and Intensive Care: A new model for forensic psychiatric patients in crisis. Sylvia Gerritsen, Petra de Leede, Yolande Voskes, Laura van Melle & Guy Widdershoven. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 233. "
571,"High and Intensive Care: evaluating the implementation of a new model for acute inpatient care. Laura van Melle, Yolande Voskes, Sylvia Gerritsen, Lieke Zomer, Niels Mulder &. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 235. "
572,"Practice. Nick Horne & Wayne Saville (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 237. "
573,"Music in seclusion rooms – what impact on nurse-patient interactions and on caregivers’ well-being at work?. Angelika Güsewell, Emilie Bovet, Cédric Bornand, Alexia Stantzos & Gilles Bangerter. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 239. "
574,"Impact on seclusion rates and key learning’s about successful implementation. Justine Fletcher & Bridget Hamilton (Australia). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 241. "
575,"Mental Health Services. Richard Whittington (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 243. "
576,"The comfort room as experienced by adolescents and nurses in a psychiatric hospital: qualitative study. Karel Desmet & Eddy Deproost (Belgium). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 244. "
577,"Restrictive practice in relation to self-harm: necessary or unnecessary?. Bart Debyser, Eddy Deproost, Karel Desmet & Sofie Verhaeghe (Belgium):. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 246. "
578,"Does patient-staff relationship change after implementation of Safewards?. Julia Standfield Birck, Jesper Bak & Steen Madsen (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 248. "
579,"The “Sigmaringen model” to reduce seclusion and restraint in psychiatry. Alex Gogolkiewicz, Frank-Thomas Bopp & Tilman Steinert (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 251. "
580,"A seclusion free policy by 2020: feasible or an unrealistic pursuit?. Iris Dijkhuizen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 253. "
581,"Violence Reduction in Baltimore, MD, USA. Vedrana Hodzic, Christopher Wilk, Christopher Miller, Ashley Hernandez,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 257. "
582,". Astrid Dirks, Niels Bouwhuis & Sandra Vos (Netherlands) pharmacological therapies.p. 261. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Intensive Care model) significantly reduces restrictive measures such as segregation without increase in aggression or violence p. 259. "
583,". Pharmacological interventions for recurring agitation and aggression in different diagnosis groups – results of a systematic reviewp. 261. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Astrid Dirks, Niels Bouwhuis & Sandra Vos (Netherlands) pharmacological therapies. p. 261. "
584,"Pharmacological interventions for recurring agitation and aggression in different diagnosis groups – results of a systematic review. Sophie Hirsch & Tilman Steinert (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 261. "
585,"Does the use of antipsychotics increase when coercion decreases in a general psychiatric ward?. Mikkel Højlund, Lene Høgh, Povl Munk-Jørgensen & Eslebeth Stenager (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 264. "
586,"The Pharmacological Management of Violence in Psychiatric Inpatients. Laura Dardashti, Jennifer O’Day, Michael Cummings, Jonathan Meyer, George Proctor,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 266. "
587,"Prevelance of Criminal Risk in a forensic mental health sample. Susan Velasquez, Katherine Warburton, Darci Delgado, Ben Rose, Andrea Bauchowitz &. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 269. "
588,"Madeira Island, Portugal. Helena Gonçalves Jardim, Rita Silva, José Peixoto Caldas, Geraldo Bezerra Silva. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 271. "
589,"Attitudes towards aggression, perception of aggression in groups of somatic, psychiatric and students nurses-comparative analysis. Jakub Lickiewicz (Poland). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 275. "
590,"Presentation of the Conducted Electrical Weapon De-Escalates Violence in the Healthcare Setting. Jeffrey Ho, Michael Coplen & Brian Driver (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 277. "
591,"Early Recognition Method. Kirsten Kjær Johansen & Frans Fluttert (Norway). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 279. "
592,"Mindfulness-based intervention reduces aggression: A systematic review. Akihiro Shiina (Japan). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 281. "
593,"Emotion Regulation and Awareness in Intermittent Explosive Disorder. Michael McCloskey, Jonathan Prichard & Martha Fahlgren (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 283. "
594,"Forensic psychiatric patients’ perceptions of situations connected with the use of mechanical restraints. Ellen Boldrup Tingleff, Lise Hounsgaard, Stephen Bradley & Frederik Alkier Gildberg. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 285. "
595,"The lived experience of mental health inpatients with an autistic spectrum condition- A Phenomenological Study. Paul Maloret (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 287. "
596,"Gender differences in consumers own prediction of violence using a self-report risk scale (SRS). Øyvind Lockertsen, Nicholas Procter, Solveig K B Vatnar, Ann Faerden,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 288. "
597,"Resonant relationships and service user influence on matching prevent mechanical restraint. Esben Sandvik Tønder & Eva Ørsted Sery (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 290. "
598,". Migrants at high risk for treatment in secure mental hospitals. Where do they come from?p. 297. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Thais Baleeiro Teixeira (Spain) perspectives. p. 297. "
599,". Thomas Ross, Klaus Hoffmann, Jan Querengaesser & Jan Bulla (Germany) perspectives.p. 299. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Migrants at high risk for treatment in secure mental hospitals. Where do they come from? p. 297. "
600,"Thomas Ross, Klaus Hoffmann, Jan Querengaesser & Jan Bulla (Germany) perspectives.. Subjective experience of coercion related to medication: Study in a forensic psychiatric population with an adapted version of the. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 299. "
601,"Admission Experience Survey. Tilman Steinert , Juliane Horvath & Susanne Jaeger (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 299. "
602,"Effects of open-door policies in acute psychiatry on (perceived) coercion, serious incidents and absconding – a prospective cohort study. Simone Efkemann, Janice Kalagi, Jakov Gather, Bianca Überberg, Hans-Jörg Assion,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 302. "
603,"Come join our Moral Case Deliberation Workshop and experience an ethical dilemma!. Marieke Visser & Sylvia Grauwelman-Schouten (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 303. "
604,"Psychiatric risk assessment, involuntary treatment, and discrimination of persons with mental disorder. Matthé Scholten, Jakov Gather & Jochen Vollmann (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 305. "
605,"Patients` views on their own involuntary hospitalisation on the treatment criterion - a qualitative study. Sara Kaern Linstow & Annick Urfer-Parnas (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 307. "
606,"Obstacles in seeking a legal reaction on violent incidents in psychiatry. Joke Harte, Ingrid van Houwelingen & Mirjam van Leeuwen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 312. "
607,"Limiting the freedom of action of psychiatric patients causing psychological violence to staff. Søren Birkeland & Frederik Gildberg (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 316. "
608,"Offender Outcomes. Doyle Pruitt (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 318. "
609,"Dangerous Sex Offenders: Recidivism Rates and Risk Characteristics. Michael Rowlands, Gavan Palk & Ross Young (Australia). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 320. "
610,"An unusual chapter. Relational care in a forensic psychiatric hospital. Petra Schaftenaar (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 327. "
611,"An exploration of gender differences. Vivienne de Vogel (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 329. "
612,"Disorder in Forensic Psychiatry: A Multicenter Study. Julie Karsten, Vivienne de Vogel & Marike Lancel (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 330. "
613,"Poor sleep and its relation to impulsivity and aggression in forensic psychiatric patients. Maaike Van Veen, Jeanine Kamphuis, Julie Karsten & Marike Lancel (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 332. "
614,"Using Technology to Enhance the Therapeutic Impact of Seclusion. Lucy McCarthy, Gareth Garrett, Gillian Bennett, Dee Vujkovic, Patrick Sims &. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 334. "
615,"ADHD and delinquency: Cross the line for collaborative care!. Marijn du Prie, Kirstin Heerdink, Rosalind van der Lem & Stefan Bogaerts. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 337. "
616,"Empowering community mental health teams by providing forensic consultation. Diana Polhuis, Ben Lijten & Rene Mooij (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 339. "
617,"Women with Mental Illness that commit Filicide: A case series. Ugasvaree Subramaney (South Africa). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 341. "
618,"Piloting the Safewards Model in a Forensic Mental Health Inpatient setting in Toronto, Canada. Stephen Canning, Patti Socha, Julia Dudzevic, Kiran Patel, Angie Loumankis,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 344. "
619,"Disorder Service. Ravi Lingam, Rachel Woodward & Foteini Papouli (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 349. "
620,"Violence and threats against forensic mental health staff– Staff perception of workplace violence and threats. Gitte Munksgaard, Frederik Alkier Gildberg, Joy Duxbury & Lise Hounsgaard. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 351. "
621,". Evelyn Rogerson, Keith Reid, Sandeep Reehl & James Brotherson (UK) disabled / learning disabilitiesp. 356. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Game Theory Analysis p. 354. "
622,". Schema Therapy in offenders with intellectual disabilitiesp. 356. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Evelyn Rogerson, Keith Reid, Sandeep Reehl & James Brotherson (UK) disabled / learning disabilities p. 356. "
623,"Schema Therapy in offenders with intellectual disabilities. Rose Schmitz & Marije Keulen-de Vos (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 356. "
624,"Heroes and Helpers: Schema Therapy for offenders with intellectual disabilities. Marije Keulen-de Vos & Rose Schmitz (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 358. "
625,"A supportive relationship towards people with an intellectual disability and challenging behaviour. Tess Tournier, Lex Hendriks, Andrew Jahoda, Richard Hastings & Petri Embregts. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 363. "
626,"Characteristics of self-injurious behaviour in people with intellectual disabilities: using the Self-Harm Scale. Kim van den Bogaard, Henk Nijman & Petri Embregts (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 365. "
627,"Evaluating staff training on interactions between staff and people with intellectual disability and challenging behaviour. Petri Embregts, Linda Zijlmans, Linda Gerits & Anna Bosman (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 367. "
628,"Workplace Violent Events in the Pediatric Inpatient Medical Setting. Della Derscheid (USA). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 369. "
629,"Networks of Professionals ‘without violence’ for the elderly suffering from psychic disorders in Europe. Laurence Fond-Harmant, Isabelle Tournier, Jocelyn Deloyer, Gabriela Kelemen,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 371. "
630,"Mihaela Gavriela (Luxembourg) displaced people.. Acculturative Aggression: Myth or Reality? An Analysis of Levels of. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 373. "
631,"Asylum Seekers in the Netherlands. Abigail Pickard & Elizabeth Wiese (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 373. "
632,"What you don’t know CAN hurt you. Lisa Mistler, Alexander De Nesnera, Diane Allen, Frank Harris & Matthew Friedman. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 375. "
633,"Psychosocial care through organisational peer support – evaluation of a training programme in the healthcare and welfare services sector. Claudia Vaupel, Mereike Adler, Dana Wendeler & Albert Nienhaus (Germany). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 377. "
634,"Using the Rock & Water method in the treatment of forensic psychiatric patients and in educating staff. Erik Timmerman & Ernst Janzen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 384. "
635,"TAP training (tranquility, authenticity & possibilities) Increasing possibilities for efficient acting in crisis situations. Erik Timmerman, Pim Suijdendorp & Ernst Janzen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 388. "
636,"How to tackle it?. Marike Lancel & Maaike van Veen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 391. "
637,"Can a simple board game change how we react towards potentially violent patients?. Ulla Hartvig, Gitte Vase & Susanne Foldager (Denmark). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 392. "
638,"Introducing Safewards into a forensic mental health unit. Tessa Maguire, Jo Ryan, Rachael Fullam & Brian McKenna (Australia). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 394. "
639,"Reducing restrictive practice: A key role of PMVA training/trainer. Abu Idris (UK). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 396. "
640,". Alexander Shestiperov, Ronit Kigli, Hilik Levkovitz &p. Orli Grinstein-Cohen (Israel). In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Childhood Sexual Abuse Among Psychiatric Inpatients p. 398. "
641,". Evaluation of physical conflict management techniques; a step towards a national standard in mental Health care in Norwayp. 400. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. Alexander Shestiperov, Ronit Kigli, Hilik Levkovitz & p. Orli Grinstein-Cohen (Israel). "
642,"Evaluation of physical conflict management techniques; a step towards a national standard in mental Health care in Norway. Thomas Haugen Nag, Torill Storhaug Fotland, Thor Egil Holtskog, Kjell Kjaervik &. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Nijman H, Palmstierna T, Duxbury J. Proceedings of the 10th European Congress on Violence in Clinical Psychiatry. 26–28 October 2017; Dublin. Oud Consultancy, Amsterdam. 2017. p. 400. "
